date,amount,description,account
08/06/15,70.69,Check Deposit (Mobile),Capital One
08/05/15,-700,Withdrawal from ALLY BANK $TRANSFER,Capital One
08/04/15,-12,Withdrawal from Capital One Inv. ProgramChg,Capital One
07/31/15,0.15,Monthly Interest Paid,Capital One
07/31/15,-101.75,ATM Withdrawal - 314 FLATBUSH AVENUE  BROOKLYN  NY US,Capital One
07/31/15,-2000,Internet Withdrawal to ShareBuilder Individual XXX3902,Capital One
07/31/15,-400,Internet Withdrawal to ShareBuilder Roth IRA XXX7752,Capital One
07/31/15,3256.9,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
07/27/15,-100,Paper Payment to Deborah De Santis-Moniaci,Capital One
07/26/15,50,Internet Deposit from ShareBuilder Individual XXX3902,Capital One
07/24/15,-11.98,Debit Card Purchase - THE KATIROLL COMPANY NEW YORK NY,Capital One
07/22/15,-394.12,Withdrawal from AMEX EPayment ACH PMT,Capital One
07/21/15,-100,Paper Payment to Deborah De Santis-Moniaci,Capital One
07/21/15,250,Deposit from Savings XXXXX8671,Capital One
07/21/15,-2500,Withdrawal from ALLY BANK $TRANSFER,Capital One
07/20/15,-85.2,Debit Card Purchase - BROTHERS TRATTORIA INC BEACON NY,Capital One
07/20/15,0.06,Interest Paid,Capital One
07/20/15,4.76,Credit Adjustment Conversion Fee,Capital One
07/20/15,-300,Internet Withdrawal to ShareBuilder Individual XXX3902,Capital One
07/17/15,-82,ATM Withdrawal - 71 OLD GLENHAM ROAD  GLENHAM  NY US,Capital One
07/17/15,-213.7,Withdrawal from NYS DTF BILL PYT Tax Paymnt,Capital One
07/16/15,-250,Withdrawal from PAYPAL to GARY KERTIS INST XFER,Capital One
07/15/15,3127.91,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
07/15/15,248.46,Check Deposit (Mobile),Capital One
07/05/15,-400,Internet Withdrawal to ShareBuilder Individual XXX3902,Capital One
07/03/15,-101.75,ATM Withdrawal - 612 NOSTRAND AVE  BROOKLYN  NY US,Capital One
07/02/15,-10.89,Debit Card Purchase - THE KATIROLL COMPANY NEW YORK NY,Capital One
07/02/15,-12,Withdrawal from Capital One Inv. ProgramChg,Capital One
07/01/15,-1000,Withdrawal from ALLY BANK $TRANSFER,Capital One
06/30/15,0.79,Monthly Interest Paid,Capital One
06/30/15,-1876,Withdrawal to Savings XXXXX8671,Capital One
06/30/15,-2000,Internet Withdrawal to ShareBuilder Roth IRA XXX7752,Capital One
06/30/15,-594.05,Withdrawal from AMEX EPayment ACH PMT,Capital One
06/30/15,3256.9,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
06/25/15,-3000,Withdrawal from ALLY BANK $TRANSFER,Capital One
06/16/15,-815,Paper Payment to Nicholas Kuvach,Capital One
06/15/15,3127.91,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
06/11/15,-38.04,Electronic Payment to National Grid,Capital One
06/09/15,-250,Withdrawal from PAYPAL to GARY KERTIS INST XFER,Capital One
06/05/15,-2274.66,Withdrawal from AMEX EPayment ACH PMT,Capital One
06/02/15,-12,Withdrawal from Capital One Inv. ProgramChg,Capital One
06/01/15,-2000,Withdrawal from ALLY BANK $TRANSFER,Capital One
05/31/15,0.58,Monthly Interest Paid,Capital One
05/29/15,5870.29,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
05/28/15,-101.99,ATM Withdrawal - 70 WEST 39TH STREET  NEW YORK  NY US,Capital One
05/22/15,-20.15,Electronic Payment to National Grid,Capital One
05/18/15,-2500,Withdrawal from ALLY BANK $TRANSFER,Capital One
05/15/15,3256.9,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
05/13/15,-180,Debit Card Purchase - VENMO 08558124430 NY,Capital One
05/05/15,-2000,Withdrawal from ALLY BANK $TRANSFER,Capital One
05/04/15,-12,Withdrawal from Capital One Inv. ProgramChg,Capital One
05/02/15,-202.75,ATM Withdrawal - 20 ST JAMES ST  KINGSTON  NY US,Capital One
04/30/15,0.17,Monthly Interest Paid,Capital One
04/30/15,3127.91,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
04/23/15,-3308,Withdrawal to Savings XXXXX8671,Capital One
04/23/15,-2517.43,Withdrawal from AMEX EPayment ACH PMT,Capital One
04/22/15,6500,Deposit from ALLY BANK P2P GARY M KERTIS,Capital One
04/16/15,-3000,Withdrawal from ALLY BANK $TRANSFER,Capital One
04/15/15,3127.91,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
04/02/15,-12,Withdrawal from Capital One Inv. ProgramChg,Capital One
04/01/15,-21.08,Electronic Payment to National Grid,Capital One
04/01/15,-2500,Withdrawal from ALLY BANK $TRANSFER,Capital One
03/31/15,0.18,Monthly Interest Paid,Capital One
03/31/15,-500,Withdrawal to Savings XXXXX8671,Capital One
03/31/15,3326.9,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
03/23/15,-70,Withdrawal from 770510487C SUBLIME HQ PTY LTD IAT PAYPAL,Capital One
03/18/15,-200,Internet Withdrawal to ShareBuilder Roth IRA XXX7752,Capital One
03/16/15,-3000,Withdrawal from ALLY BANK $TRANSFER,Capital One
03/13/15,3127.9,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
03/10/15,-268.03,Withdrawal from AMEX EPayment ACH PMT,Capital One
03/09/15,-500,Internet Withdrawal to ShareBuilder Individual XXX3902,Capital One
03/09/15,-220,Internet Withdrawal to ShareBuilder Roth IRA XXX7752,Capital One
03/09/15,-660,Internet Withdrawal to ShareBuilder Roth IRA XXX7752,Capital One
03/03/15,-12,Withdrawal from Capital One Inv. ProgramChg,Capital One
03/02/15,-19.53,Electronic Payment to National Grid,Capital One
03/02/15,-2000,Withdrawal from ALLY BANK $TRANSFER,Capital One
03/02/15,-725.81,Withdrawal from AMEX EPayment ACH PMT,Capital One
02/28/15,0.14,Monthly Interest Paid,Capital One
02/27/15,-1000,1000 - Withdrawal to Savings XXXXX8671,Capital One
02/27/15,5397.18,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
02/20/15,-1500,Withdrawal from ALLY BANK $TRANSFER,Capital One
02/19/15,1000,Deposit from Savings XXXXX8671,Capital One
02/17/15,-936.83,Withdrawal from AMEX EPayment ACH PMT,Capital One
02/13/15,-1000,Withdrawal to Savings XXXXX8671,Capital One
02/13/15,2429.76,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
02/09/15,-21.76,Electronic Payment to National Grid,Capital One
02/03/15,-12,Withdrawal from Capital One Inv. ProgramChg,Capital One
02/03/15,-1000,Withdrawal from ALLY BANK $TRANSFER,Capital One
01/31/15,0.14,Monthly Interest Paid,Capital One
01/31/15,-1900,Withdrawal to Savings XXXXX8671,Capital One
01/30/15,2429.77,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
01/26/15,-22.56,Debit Card Purchase - STEWARTS SCOTTISH MARK KEARNY NJ,Capital One
01/16/15,-1500,Withdrawal from ALLY BANK $TRANSFER,Capital One
01/16/15,-509.75,Withdrawal from AMEX EPayment ACH PMT,Capital One
01/15/15,-220,Internet Withdrawal to ShareBuilder Roth IRA XXX7752,Capital One
01/15/15,2429.76,Deposit from FIDELITY EMP SVC PUBMATICIN,Capital One
01/05/15,-20.68,Electronic Payment to National Grid,Capital One
01/05/15,-12,Withdrawal from ShareBuilder ProgramChg,Capital One
01/02/15,-1400,Withdrawal from ALLY BANK $TRANSFER,Capital One
01/01/2015,-49.88,SAM SNEADS SHAWNEE ON DE PA,Amex
01/02/2015,-40,MTA MVM*NOSTRAND AVENEW YORK NY,Amex
01/02/2015,-62.8,THE BRESLIN BAR & DINEW YORK NY,Amex
01/03/2015,-5.15,AMAZON WEB SERVICES AWS.AMAZON.CO WA,Amex
01/06/2015,-11.41,FIVE GUYS-NY #1499 5NEWYORK NY,Amex
01/07/2015,-3.99,ITUNES MUSICUSA ITUNCUPERTINO CA,Amex
01/11/2015,-77.73,FRANKIES SPUNTINO BROOKLYN NY,Amex
01/11/2015,-9.98,ITUNES MUSICUSA ITUNCUPERTINO CA,Amex
01/14/2015,-11.69,GOURMET NEW YORK 002NEW YORK NY,Amex
01/15/2015,-8.98,ITUNES MUSICUSA ITUNCUPERTINO CA,Amex
01/15/2015,-40,MTA MVM*NOSTRAND AVENEW YORK NY,Amex
01/15/2015,509.75,ONLINE PAYMENT - THANK YOU,Amex
01/16/2015,-20,NEW YORK TIMES DIGIT800-698-4637 NY,Amex
01/18/2015,-9.99,SPOTIFY USA 522898075018 SE,Amex
01/19/2015,-45.68,RADIOSHACK COR128611BROOKLYN NY,Amex
01/21/2015,-8,PP*NUCHAS TSQ UNION CITY NJ,Amex
01/23/2015,-204.63,ASTOR WINE AND SPIRINEW YORK NY,Amex
01/23/2015,-3.99,ITUNES MUSICUSA ITUNCUPERTINO CA,Amex
01/24/2015,-47.92,BROOKLYN LARDER BROOKLYN NY,Amex
01/24/2015,-168.75,SAN ART FRAMING & SU718-857-0629,Amex
01/26/2015,-7.99,NETFLIX WWW.NETFLIX.LOS GATOS CA,Amex
01/30/2015,-50,DELTA AIR LINES ATLANTA,Amex
01/30/2015,-44.59,NYC TAXI 5Y74 090025LONG ISLAND C NY,Amex
01/31/2015,-3.99,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
02/03/2015,-2.11,AMAZON WEB SERVICES AWS.AMAZON.CO WA,Amex
02/03/2015,-10.69,EUROPA CAFE 04615741NEW YORK NY,Amex
02/03/2015,-40,MTA MVM*42ND STREET NEW YORK NY,Amex
02/09/2015,-3.99,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
02/10/2015,-13.66,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
02/10/2015,-8.7,PRET A MANGER #002 0NEW YORK NY,Amex
02/11/2015,-83.08,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
02/11/2015,-10.69,EUROPA CAFE 04615741NEW YORK NY,Amex
02/13/2015,-40,MTA MVM*UNION STREETNEW YORK NY,Amex
02/13/2015,-20,NEW YORK TIMES DIGIT800-698-4637 NY,Amex
02/13/2015,936.83,ONLINE PAYMENT - THANK YOU,Amex
02/16/2015,-92.47,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
02/16/2015,-21.76,AMAZON.COM AMZN.COM/BILL WA,Amex
02/17/2015,-10.69,EUROPA CAFE 04615741NEW YORK NY,Amex
02/17/2015,-200,MELT MASSAGE & BODYWBROOKLYN NY,Amex
02/18/2015,-7.61,PRET A MANGER #002 0NEW YORK NY,Amex
02/18/2015,-9.99,SPOTIFY USA 546473430017 SE,Amex
02/19/2015,-5.99,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
02/22/2015,-21.42,CATFISH BROOKLYN NY,Amex
02/23/2015,-74.86,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
02/23/2015,-40,MTA MVM*42ND STREET NEW YORK NY,Amex
02/24/2015,-9.71,GREEN SYMPHONY 27460NEW YORK NY,Amex
02/25/2015,-153.13,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
02/25/2015,-10.19,PRET A MANGER #002 0NEW YORK NY,Amex
02/26/2015,-7.99,NETFLIX WWW.NETFLIX.LOS GATOS CA,Amex
02/27/2015,725.81,ONLINE PAYMENT - THANK YOU,Amex
03/02/2015,-22.48,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
03/02/2015,-2.07,AMAZON WEB SERVICES AWS.AMAZON.CO WA,Amex
03/03/2015,-7.99,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
03/04/2015,-10.69,EUROPA CAFE 04615741NEW YORK NY,Amex
03/04/2015,-40,MTA MVM*42ND STREET NEW YORK NY,Amex
03/06/2015,-9.8,WHITMAN'S 0000 NEW YORK NY,Amex
03/08/2015,-175,ANNUAL MEMBERSHIP FEE,Amex
03/09/2015,268.03,ONLINE PAYMENT - THANK YOU,Amex
03/10/2015,-44.07,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
03/10/2015,-11.08,GREEN SYMPHONY 27460NEW YORK NY,Amex
03/11/2015,-40.79,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
03/11/2015,-11.98,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
03/11/2015,-9.79,JUST SALAD 1 JUST SANYC NY,Amex
03/12/2015,-6.53,GOURMET NEW YORK 002NEW YORK NY,Amex
03/12/2015,-46.81,NOSTRAND WINES & LIQ718-398-9890,Amex
03/13/2015,-20,NEW YORK TIMES DIGIT800-698-4637 NY,Amex
03/13/2015,-9.64,PRET A MANGER #002 0NEW YORK NY,Amex
03/15/2015,-115,ANTIQUE ADDICTION TOBROOKLYN NY,Amex
03/15/2015,-48.99,Sofia Ramsay Brooklyn NY,Amex
03/16/2015,-10.68,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
03/16/2015,-34.79,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
03/16/2015,-95.85,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
03/16/2015,-5.99,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
03/16/2015,-40,MTA MVM*42ND STREET NEW YORK NY,Amex
03/17/2015,-14.15,WHITMAN'S 0000 NEW YORK NY,Amex
03/18/2015,-10.56,GREEN SYMPHONY 27460NEW YORK NY,Amex
03/18/2015,-9.99,SPOTIFY USA 571127035012 SE,Amex
03/19/2015,-39,BROWSERSTACK.COM 9172677480 DE,Amex
03/20/2015,-14.99,EGGHEAD.IO 8176756031 TX,Amex
03/20/2015,-9.64,PRET A MANGER #002 0NEW YORK NY,Amex
03/22/2015,-182.91,STEVEN ALAN BROOKLYNBROOKLYN NY,Amex
03/23/2015,-8.98,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
03/24/2015,-12.11,GREEN SYMPHONY 27460NEW YORK NY,Amex
03/25/2015,-40,MTA MVM*42ND STREET NEW YORK NY,Amex
03/25/2015,-9.64,PRET A MANGER #002 0NEW YORK NY,Amex
03/26/2015,-7.99,NETFLIX WWW.NETFLIX.LOS GATOS CA,Amex
03/27/2015,-11.42,GREEN SYMPHONY 27460NEW YORK NY,Amex
04/01/2015,-8.57,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
04/01/2015,-11.34,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
04/01/2015,-34.7,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
04/01/2015,-9.64,PRET A MANGER #002 0NEW YORK NY,Amex
04/02/2015,-4.34,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
04/03/2015,-2.07,AMAZON WEB SERVICES AWS.AMAZON.CO WA,Amex
04/05/2015,-40,MTA MVM*NOSTRAND AVENEW YORK NY,Amex
04/07/2015,-9.64,PRET A MANGER #002 0NEW YORK NY,Amex
04/08/2015,-448,AIRBNB INC 415-800-5959 CA,Amex
04/08/2015,-312.2,JETBLUE AIRWAYS 9010JETBLUE NY,Amex
04/08/2015,-312.2,JETBLUE AIRWAYS 9010JETBLUE NY,Amex
04/10/2015,-9.77,GREEN SYMPHONY 27460NEW YORK NY,Amex
04/10/2015,-20,NEW YORK TIMES DIGIT800-698-4637 NY,Amex
04/11/2015,-46.62,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
04/12/2015,-6.7,BERGEN BAGELS BROOKLYN NY,Amex
04/12/2015,-30.69,BROOKLYN LARDER BROOKLYN NY,Amex
04/12/2015,-28.07,PINTCHIK 0008 BROOKLYN NY,Amex
04/13/2015,-5,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
04/13/2015,-12.8,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
04/13/2015,-40,MTA MVM*42TH STREET NEW YORK NY,Amex
04/15/2015,-8.15,PRET A MANGER #002 0NEW YORK NY,Amex
04/17/2015,-107.79,AMAZONPRIME MEMBERSHAMZN.COM/PRME NV,Amex
04/18/2015,-16.8,BROOKLYN LARDER BROOKLYN NY,Amex
04/18/2015,-9.99,SPOTIFY USA 601274348015 SE,Amex
04/19/2015,-39,BROWSERSTACK.COM 9172677480 DE,Amex
04/20/2015,-14.99,EGGHEAD.IO 8176756031 TX,Amex
04/21/2015,-4.99,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
04/22/2015,-40,MTA MVM*42ND STREET NEW YORK NY,Amex
04/22/2015,2517.43,ONLINE PAYMENT - THANK YOU,Amex
04/22/2015,-9.64,PRET A MANGER #002 0NEW YORK NY,Amex
04/23/2015,-38.95,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
04/24/2015,-3.94,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
04/24/2015,-14.98,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
04/26/2015,-36.13,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
04/26/2015,-7.99,NETFLIX.COM NETFLIX.COM CA,Amex
04/28/2015,-9.64,PRET A MANGER #002 0NEW YORK NY,Amex
04/29/2015,-9.64,PRET A MANGER #002 0NEW YORK NY,Amex
05/02/2015,-12.77,STEWARTS SHOP 301 54WOODSTOCK NY,Amex
05/02/2015,-35.01,SUNOCO 0042337601 SLOATSBURG NY,Amex
05/03/2015,-39.17,AMAZON WEB SERVICES AWS.AMAZON.CO WA,Amex
05/03/2015,-39.43,SEAMLESS * CAFE RUE 800-905-9322,Amex
05/04/2015,-40,MTA MVM*42ND STREET NEW YORK NY,Amex
05/05/2015,-19,ILILI BOX NEW YORK NY,Amex
05/06/2015,-9.64,PRET A MANGER #002 0NEW YORK NY,Amex
05/08/2015,-5.39,GREENLIGHT BOOKSTOREBROOKLYN NY,Amex
05/08/2015,-20,NEW YORK TIMES DIGIT800-698-4637 NY,Amex
05/08/2015,-13.98,THE GREEN GRAPE 8843BROOKLYN NY,Amex
05/09/2015,-8.98,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
05/09/2015,-180,MELT MASSAGE & BODYWBROOKLYN NY,Amex
05/10/2015,-30.36,HARRIS TEETER #0262 7034121544,Amex
05/10/2015,-104.45,JALEO CRYSTAL CITY 5ARLINGTON VA,Amex
05/12/2015,-10.02,PONTI ROSSI New York NY,Amex
05/13/2015,-9.64,PRET A MANGER #002 0NEW YORK NY,Amex
05/14/2015,-70.75,NOSTRAND WINES & LIQ718-398-9890,Amex
05/15/2015,-5,LINODE.COM 855-454-6633 NJ,Amex
05/18/2015,-40,MTA MVM*NOSTRAND AVENEW YORK NY,Amex
05/18/2015,-9.99,SPOTIFY USA 629852362017 SE,Amex
05/19/2015,-39,BROWSERSTACK.COM 9172677480 DE,Amex
05/19/2015,-6.45,EUROPAN CAFE 00-0801NEW YORK NY,Amex
05/20/2015,-14.99,EGGHEAD.IO 8176756031 TX,Amex
05/20/2015,-14.99,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
05/20/2015,-8.15,PRET A MANGER #002 0NEW YORK NY,Amex
05/21/2015,-8.98,DEAN & DELUCA ESPRESNEW YORK NY,Amex
05/21/2015,-364,NEW YORK CITY COALIT212-825-0028 NY,Amex
05/23/2015,-7.99,AMAZON.COM AMZN.COM/BILL WA,Amex
05/23/2015,-64.8,AMAZON.COM AMZN.COM/BILL WA,Amex
05/23/2015,-23.72,THE GREEN GRAPE 8843BROOKLYN NY,Amex
05/24/2015,-100.15,AMAZON.COM AMZN.COM/BILL WA,Amex
05/24/2015,-400.66,AMAZON.COM AMZN.COM/BILL WA,Amex
05/25/2015,-19.33,NOSTRAND AVENUE PUB 718-930-7767,Amex
05/26/2015,-7.99,NETFLIX.COM NETFLIX.COM CA,Amex
05/26/2015,-6,TOD ACADEMIC TRANSCR847-716-3805,Amex
05/27/2015,-5,COLLEGE TRANSCRIPT 1703-742-4200,Amex
05/27/2015,-11.58,DUANE READE #14223 0NEW YORK NY,Amex
05/27/2015,-40,MTA MVM*42ND STREET NEW YORK NY,Amex
05/27/2015,-8.15,PRET A MANGER #002 0NEW YORK NY,Amex
05/30/2015,-15,COLLEGE TRANSCRIPT 0847-716-3000,Amex
05/30/2015,-36.36,EXXONMOBIL 9902 CROTON ON HUD NY,Amex
05/31/2015,-60,PAYPAL *BRINKMANMAR 4029357733 CA,Amex
06/01/2015,-0.9,LINODE.COM 855-454-6633 NJ,Amex
06/01/2015,-128,PAYPAL *WINDFLOWERF 4029357733 CA,Amex
06/02/2015,-7.98,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
06/02/2015,-8.15,PRET A MANGER #002 0NEW YORK NY,Amex
06/04/2015,-11.91,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
06/04/2015,-12.59,AMAZON WEB SERVICES AWS.AMAZON.CO WA,Amex
06/04/2015,-12.65,AMAZON.COM AMZN.COM/BILL WA,Amex
06/04/2015,-16.31,AMAZON.COM AMZN.COM/BILL WA,Amex
06/04/2015,2274.66,ONLINE PAYMENT - THANK YOU,Amex
06/05/2015,-23.08,BROOKLYN LARDER BROOKLYN NY,Amex
06/05/2015,-20,NEW YORK TIMES DIGIT800-698-4637 NY,Amex
06/06/2015,-58.56,AMAZON.COM AMZN.COM/BILL WA,Amex
06/08/2015,-40,MTA MVM*42ND STREET NEW YORK NY,Amex
06/12/2015,-6.52,PRET A MANGER #002 0NEW YORK NY,Amex
06/13/2015,-17.88,FOODTOWN #600 000000COLD SPRINGS NY,Amex
06/14/2015,1.65,COLD SPRING QUICK MACOLD SPRING NY,Amex
06/14/2015,-40,COLD SPRING QUICK MACOLD SPRING NY,Amex
06/14/2015,-8.92,FOODTOWN #600 000000COLD SPRINGS NY,Amex
06/16/2015,-8.5,HANCO ON SMITH STREE718-858-6818,Amex
06/16/2015,-3.99,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
06/16/2015,-10.28,PAPER SOURCE BROOKLYBROOKLYN NY,Amex
06/17/2015,-20,ONE MEDICAL GROUP NEW YORK NY,Amex
06/17/2015,-12.3,WALGREENS #15352 000BROOKLYN NY,Amex
06/18/2015,-40,MTA MVM*42ND STREET NEW YORK NY,Amex
06/18/2015,-9.99,SPOTIFY USA 659675897014 SE,Amex
06/19/2015,-39,BROWSERSTACK.COM LEWES DE,Amex
06/19/2015,-45.19,BY BROOKLYN 718-643-0606,Amex
06/19/2015,-10,DOCTORS W/O BORDERS 212-679-6800 NY,Amex
06/19/2015,-96.9,HABIT ON SMITH 12705BROOKLYN NY,Amex
06/20/2015,-14.99,EGGHEAD.IO FORT WORTH TX,Amex
06/26/2015,-7.99,NETFLIX.COM NETFLIX.COM CA,Amex
06/28/2015,-37.5,BUILDING ON BOND 884BROOKLYN NY,Amex
06/29/2015,-26.56,AMAZON.COM AMZN.COM/BILL WA,Amex
06/29/2015,594.05,ONLINE PAYMENT - THANK YOU,Amex
06/30/2015,-32.59,AMAZON.COM AMZN.COM/BILL WA,Amex
07/01/2015,-119.08,EMILY 00085669654216BROOKLYN NY,Amex
07/01/2015,-10,LINODE.COM 855-454-6633 NJ,Amex
07/02/2015,-5.27,AMAZON WEB SERVICES AWS.AMAZON.CO WA,Amex
07/02/2015,-13.66,FOODTOWN #602 000000BROOKLYN NY,Amex
07/03/2015,-18.7,AMAZON.COM AMZN.COM/BILL WA,Amex
07/03/2015,-20,NEW YORK TIMES DIGIT800-698-4637 NY,Amex
07/07/2015,-40,MTA MVM*42ND STREET NEW YORK NY,Amex
07/07/2015,-64.24,MYCLEAN 650000007895NEW YORK NY,Amex
07/07/2015,-6.52,PRET A MANGER #002 0NEW YORK NY,Amex
07/08/2015,-45,BROOKLYN BOULDERS 20BROOKLYN NY,Amex
07/09/2015,-28.25,LIRRNYTICKETS JAMAICA NY,Amex
07/11/2015,-27.54,AMAZON.COM AMZN.COM/BILL WA,Amex
07/13/2015,-5.04,AMAZON.COM AMZN.COM/BILL WA,Amex
07/13/2015,-3.99,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
07/13/2015,-18.25,LIRRNYTICKETS JAMAICA NY,Amex
07/14/2015,-26.56,AMAZON.COM AMZN.COM/BILL WA,Amex
07/15/2015,-45,DOF PARKINGANDCAMERANEW YORK NY,Amex
07/15/2015,-1.12,NYCFINANCECONVENIENCNEW YORK NY,Amex
07/15/2015,-6.52,PRET A MANGER #002 0NEW YORK NY,Amex
07/17/2015,-2,NYCDOT PARKING METERLONG IS CITY NY,Amex
07/18/2015,-42.78,SHELL OIL 5754306430NEW PALTZ NY,Amex
07/18/2015,-9.99,SPOTIFY USA 688742081013 SE,Amex
07/19/2015,-39,BROWSERSTACK.COM 9172677480 DE,Amex
07/20/2015,-14.99,EGGHEAD.IO 8176756031 TX,Amex
07/20/2015,-17.42,GRUBHUB SEAMLESS 8775857878 IL,Amex
07/20/2015,-22,KING TAI 65000000817BROOKLYN NY,Amex
07/21/2015,-15.34,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
07/21/2015,-27.66,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
07/21/2015,-96.9,MYCLEAN 650000007895NEW YORK NY,Amex
07/21/2015,394.12,ONLINE PAYMENT - THANK YOU,Amex
07/22/2015,-3.79,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
07/22/2015,-8.5,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
07/22/2015,-150,"HOMEEXCHANGE.COM, INHermosa Bch CA",Amex
